Name,Rating,Year,Duration,Certificate
Beverly Hills Cop: Axel F,6.5,2024,1h 58m,R
A Family Affair,5.4,2024,1h 51m,PG-13
A Quiet Place: Day One,6.7,2024,1h 39m,PG-13
Kalki 2898 AD,7.7,2024,3h,2024
Inside Out 2,7.9,1h 36m,Not Rated,2024– 
The Acolyte,3.5,TV-14,2024,3h 1m
Horizon: An American Saga - Chapter 1,7.1,R,2024,Not Rated
Presumed Innocent,7.7,2024– ,2024,2h 28m
My Lady Jane,7.3,R,2024,1h 41m
Furiosa: A Mad Max Saga,7.7,R,2024,1h 43m
Longlegs,7.4,R,2024– ,TV-MA
MaXXXine,6.8,2024,2h 44m,R
Supacell,6.9,2024,1h 34m,PG
Kinds of Kindness,7.0,2023,1h 56m,R
Despicable Me 4,6.3,2024– ,TV-MA,2024
The Bikeriders,7.0,1h 42m,PG-13,2023
Dark Matter,7.7,1h 55m,R,2024
The Watchers,5.7,1h 34m,Not Rated,2023– 
Hit Man,6.9,UA 13+,2024– ,2024
In a Violent Nature,5.7,1h 55m,R,2024
