link,text,user,quotes,retweets,comments
['https://twitter.com/Cristiano/status/1809617576315744323#m'],"['Queríamos mais. Merecíamos mais. Por nós. Por cada um de vocês. Por Portugal.  Somos gratos por tudo o que vocês nos deram e por tudo que conquistámos até aqui.  Dentro e fora de campo, tenho certeza de que este legado será honrado e continuará a ser construído. Juntos.']",['Cristiano Ronaldo'],[3931],[70166],[18096]
['https://twitter.com/Cristiano/status/1808902369125544294#m'],"['Fomos, somos e seremos sempre todos nós. Acredita, 🇵🇹!']",['Cristiano Ronaldo'],[1028],[31737],[8254]
['https://twitter.com/Cristiano/status/1807908731109171217#m'],"['Momentos inexplicáveis. Vamos dar tudo! Obrigado, 🇵🇹']",['Cristiano Ronaldo'],[3688],[67148],[20775]
['https://twitter.com/Cristiano/status/1807436660675637534#m'],"['Vamos com tudo, Portugal! 🇵🇹']",['Cristiano Ronaldo'],[1155],[30749],[6460]
['https://twitter.com/Cristiano/status/1807133261631746340#m'],['A preparar os oitavos!'],['Cristiano Ronaldo'],[508],[19710],[4495]
['https://twitter.com/Cristiano/status/1806697401106813066#m'],['❤️❤️❤️❤️❤️❤️'],['Cristiano Ronaldo'],[3042],[58400],[13116]
['https://twitter.com/Cristiano/status/1805316317177679990#m'],['Trabalhar para o pleno! 💪'],['Cristiano Ronaldo'],[875],[23615],[6612]
['https://twitter.com/Cristiano/status/1804589605137559637#m'],"['Apurados e primeiro lugar garantido 🇵🇹 Orgulho nesta equipa, somos Portugal!']",['Cristiano Ronaldo'],[1594],[42457],[9035]
['https://twitter.com/Cristiano/status/1804220813370909145#m'],['Preparados 🇵🇹'],['Cristiano Ronaldo'],[972],[25307],[7526]
['https://twitter.com/Cristiano/status/1803865780737499384#m'],"['🇵🇹 União, foco e compromisso.']",['Cristiano Ronaldo'],[560],[20076],[4691]
